"Dealer Name","Address","City","State","Contact"
"Ramani Nissan","No 647/1E, Winners Tower, Palladam Main Road, Tiruppur - 641604","Tiruppur","Tamil Nadu","+919500470000"
"Marvel Nissan","D No 81/2, Salem Road, Pon Nagar, Vellore - 632009","Vellore","Tamil Nadu","+919791936665"
"Jubilant Nissan","Survey No 374 & 375, New Vasoor, Alamelumangapuram, Vellore - 632009","Vellore","Tamil Nadu","+919677777241"
"Jeevan Nissan","Door No 366, Thiruthangal Road, Sivakasi, Virudhunagar - 626123","Virudhunagar","Tamil Nadu","+917397722895"
"Vibrant Nissan","No 160D, SP Road, Patny Nagar, Hyderabad - 500003","Hyderabad","Telangana","+919666914000"
"Vibrant Nissan","No 7/2/1830, Fatah Bagh, Erragadda, Hyderabad - 500018","Hyderabad","Telangana","+914023720000"
"Lakshmi Nissan","No 3/5/880, Narayanaguda, Himayat Nagar, Hyderabad - 500029","Hyderabad","Telangana","+918096666434"
"Lakshmi Nissan","No 3/5/880, Narayanaguda, Himayat Nagar, Hyderabad - 500029","Hyderabad","Telangana","+918096666434"
"Vibrant Nissan","Plot No 1 & 2, Lumbini Avenue, Gachibowli, Hyderabad - 500032","Hyderabad","Telangana","+919603614000"
"Lakshmi Nissan","Sy No 110/A, 111/1/AA, 112/1/E, Ward No 2, Block 4, Nagole Main Rd, Nagole, Hyderabad - 500068","Hyderabad","Telangana","+918096666377"
"Srikrishna Nissan","Plot No 4612 & 4615, Chinaihani, Airport Road, Usha Bazar, Agartala - 799009","Agartala","Tripura","+918657731128"
"Shiel Nissan","No 4, Prakash Enclave Bypass, Agra - 282005","Agra","Uttar Pradesh","+918657588162"
"Dee Nissan","No 4, Sardar Patel Marg, Civil Lines, Prayagraj - 211001","Prayagraj","Uttar Pradesh","+919769573445"
"Dee Nissan","1, Milling Compound, Lukerganj, Prayagraj - 211001","Prayagraj","Uttar Pradesh","+918657731121"
"Nath Nissan","Ground Floor, Rampur Road, Bidhaulia, Bareilly - 243502","Bareilly","Uttar Pradesh","+919769958240"
"Neo Nissan","No C 47, Meerut Road, Industrial Area, Ghaziabad - 201001","Ghaziabad","Uttar Pradesh","+919769621457"
"Pegasus Nissan","Ground Floor, NH 28, Nausarh, Gorakhpur - 273016","Gorakhpur","Uttar Pradesh","+919769827154"
"R N G Nissan","No 84/105A, Afim Kothi Crossing, GT Road, Kanpur Nagar - 208003","Kanpur Nagar","Uttar Pradesh","+919769847154"
"Dream Nissan","Ground Floor, Alambagh, Lucknow - 226005","Lucknow","Uttar Pradesh","+917506237747"
"Dream Nissan","VIN Palace, Tedhi Puliya, Ring Road, Sector 13 & 14, Lucknow - 226022","Lucknow","Uttar Pradesh","+917506237735"
"Dream Nissan","Ground Floor, Chinhat, Faizabad Road, Lucknow - 227105","Lucknow","Uttar Pradesh","+919769592394"
"Neo Nissan","Plot No C/26, Sector 3, Noida - 201301","Noida","Uttar Pradesh","+917045690599"
"Ganpati Nissan","No 542 K, Ganeshpur, Tarna, Shivpur, Varanasi - 221003","Varanasi","Uttar Pradesh","+919769874151"
"JKG Nissan","JKG Nissan Building, Haridwar Bypass Road, Dehradun - 248001","Dehradun","Uttarakhand","+919769942170"
"Pal Nissan","Plot No 88, Nainital, Rampur Road, Haldwani - 263139","Haldwani","Uttarakhand","+919769935750"
"JKG Nissan","No E/21, Bypass Road, Old Industrial Area, Haridwar - 249401","Haridwar","Uttarakhand","+911334656500"
"Dutta Nissan","Ground Floor, Old Court More, GT Road, Durgapur - 713213","Durgapur","West Bengal","+917506238850"
