"Dealer Name","Address","City","State","Contact"
"Bhawani Auto","A-3/31/1, Radhey Puri Ext, Main Jagatpuri Road","Delhi","Delhi","8588999006"
"South Delhi Vespa","A-20 Kailash Colony","Delhi","Delhi","9870190775"
"Hujo International","A 9/2, Wazirpur Industrial Area","Delhi","Delhi","9911224100, 9311224100"
"Mehar Motors","WZ-1, Bahadurgarh Road, Opp. DTC Bus Terminal","Delhi","Delhi","8287026544, 9873897924"
"Sanctuary Motors","1/21, Near Punjab National Bank, Ganesh Nagar","Delhi","Delhi","9899105251, 9999323120"
"Shiva Automobiles","C-4/10, Main 100 Feet Road, Kabir Nagar","Delhi","Delhi","8447714956, 9971261771"
"Delight Vespa - Uttam Nagar","K-1/8, Rajapuri, Main Palam-Najafgarh Road, Opp Sec-5 Dwarka","Delhi","Delhi","8459002323"
"Kaysons","A  14, Saraswati Vihar, Deepali Chowk, Pitampura","Delhi","Delhi","011-43519070, 27028643,45129070"
"K V Mototech","A-10, Satt Adhar Complex, Next to Spice Goa, NH 17, Karaswada","Goa","Goa","7720087475, 7720087476,7720087477"
"K V Mototech","Satt Adhar Co Operative Society,Nh  17 Karaswada","Mapusa","Goa",""
"K N Mototech","Saideep ""GS"" 01 & 02 Ground Floor","Margao","Goa","8669957700"
"Quadros Motocorp","1,Aadarsh Chodankar Residency,Eastern Bypass ,Near Old Rto Office, Opp. Hp Petrol Pump, Agalli ,Fatorda","Margao","Goa","0832-2749299"
"Veljee Motors","Felicity Apartments ,Near Hotel Shelltop,Taleigao","Panjim","Goa","8554062082"
"Moxie Mobility","3, The Link, Vijay Cross Roads","Ahmedabad","Gujarat","9909041480"
"Vahini Motors","H. M. Landmark, Opposite Gopi Cinema Hall","Anand","Gujarat","7878658031"
"Swastik Autolink","Plot No. 152, Sector 1A, Tagore Road","Gandhidham","Gujarat","02836-239639"
"Kadiwala Automative Pvt. Ltd.","8,9 Sun Complex, Motipura Circle, Sabarkantha","Himmatnagar","Gujarat",""
"Aryan automotive","57, Digvijay Plot Sumair Club Road Near Oswal Hospital","Jamnagar","Gujarat","7227023012 ,  9898234404"
"SM Autolink","Shop No 4, Opp. China Garden, Near Wide Angle, Nagalpur Highway","Mehsana","Gujarat","8128921212"
"Aastha Autolink (India) Pvt. Ltd.","Bhaktinagar Station Road, Near Satyavijay Ice  Cream, Gondal Road","Rajkot","Gujarat","0281- 2377009"
"Legacy Italiaa","Chosath Jogania Maata Mandir, Near President Motors, Udhana Magdalla Road, Khatodra","Surat","Gujarat","7046655055"
"Nanavati Vespa","G-1, Titanium Square, Opp. Adajan Gam BRTS, Pal Hazira Road","Surat","Gujarat","7046104888, 7096004888"
"Trust Automotive","13-B, Navdurga Society No. 1, Besides Union Bank, Nr. Ghelani Petrol Pump, Nizampura Main Road","Vadodara","Gujarat","9687669823"
"Shree Krishna Agencies","17/A Sahjanand Ind. Estate, Near Akshar Chowk, Munjmahuda Road, Beside Dominos Pizza","Vadodara","Gujarat","7229022556"
"Haryana Auto Agencies","Opposite Air Force School, Old Delhi Road","Gurgaon","Haryana","8745960000"
"Maya Autos","Online24X7 India Pvt Ltd, 503/2 M G Road, Near Kalyani Hospital","Gurgaon","Haryana","0124 – 4266000"
"DSR Autos","Sco-9, Meerut Road (opp Modern Automobile)","Karnal","Haryana","8950465001, 9416781003"
"Panchkula Automobiles","Plot No- 79, Phase -1, Industrial area","Panchkula","Haryana","8558894718"
"Bharat Automobiles","Murthal Road Opp. Sec. 14 Near PNB","Sonipat","Haryana","9355557226"
"Auto Concept","145-A, Hazaribag Road, opp., Yogada Ashram, Gungutoli","Ranchi","Jharkhand","6207901897"
"Autoplex Vespa","Lake Rd West, Upper Bazar","Ranchi","Jharkhand","0651 2209387"
"Taara Corp","Taara Mansion , 5 Kanke Road , Opposite Cm House","Ranchi","Jharkhand","7091323136"
"Square Auto","#119, Opp Passport Office Lalbagh Road","Bangalore","Karnataka","8884467801"
"Navin Associates Vespa","No.4/4, Opp.Christ University, Next to Forum Mall","Bangalore","Karnataka","9035018843"
"Flash Motoworks","No 20, Coles Road, Frazer Town","Bangalore","Karnataka","9606748426"
"Switch Start","720, 16 A Main Road, Yelahanka Satellite Town","Bangalore","Karnataka","9945454350"
"Velocity Bengaluru","20, Coles Rd, Pulkeshi Nagar","Bangalore","Karnataka","9071742085"
"Sunil Mehta Marketing Vespa","Dr. Rajkumar Road,# 40/1 (1015),# 40/1 (1015),1st Main, 4th Block,, Rajajinagar","Bangalore","Karnataka","9035444822"
"Cosmic INC","Vignesh Plaza, 2nd Cross Nehru Nagar, Behind Hotel Hanuman","Belgaum","Karnataka","9916242555"
"Shobha Bi-Wheelers Pvt Ltd","Aashray Empire, Shop No. 2 & 3.RPD Cross Tilakwadi","Belgaum","Karnataka","0831-2940562"
"Telsang Motors","Near Bannigida Bus Stop, Gokul Road, Basaveshvar Nagar","Hubli","Karnataka","9591981608"
"Shodha Bi-Wheelers Pvt. Ltd.","No. 4A, Hubli -Dharawad Road,Vidyanagar","Hubli","Karnataka","0836-2212748"
"Moto Rack","Eplison, Bangra Kuloor, 1-60/4, National Highway 66, Beside Reliance Petrol Pump","Mangalore","Karnataka","8095191222"
"Frontline Automobiles","Veenu Building, Kodialgutha Road,Pintos Lane, Bejai","Mangalore","Karnataka","0824-2495933"
"Dev Motors","Basement, First Floor, 140, Kalidasa Road, Devaraja Mohalla","Mysore","Karnataka","9611414143"
"Friendly Motorcycles","1825,Arundathi Complex, K Block","Mysore","Karnataka","8884467886, 08214244888"
